,alfa,cc
Ariads,2.051814862,1.158341515
Aridiv,3.38079639,1.491239668
Bouhir,3.274142393,1.985125767
Bousco,2.218142203,1.85055635
Crudiv,0.772417015,0.723242069
Cypses,0.516519726,1.013053109
Dalser,1.6247482,2
Eupmen,0.066383031,0.4021048
Evoser,1.38764588,1.642875779
Floped,0.053728902,0.387130629
Helfol,1.465745226,1.986986407
Helglo,1.340397752,1.999999892
Hetpin,1.993078763,1.044957504
Mickun,1.007279881,1.236383682
Milbif,1.685061632,2
Muhper,1.294453502,2
Muhpha,1.652392107,2
Muhrig,3.56890919,1.989828135
Oxalun,1.676183907,1.467234445
Pheoli,2.41E-09,0.126317979
Planiv,3.296267211,1.723673569
Porpil,0.016916636,0.375180905
Rictri,0.591176122,0.816816422
Sanpro,0.034332165,0.389684803
Sedote,1.292156774,2
Spoten,0.40113496,0.791853235
Stedul,0.00000134,0.191833588
Steeph,1.078001787,0.832645459
Tagmic,2.472286844,1.817693944
Thyaur,0.38206929,0.664241006
Tricor,0.45416991,0.655069976
Tripur,0.00000012,0.152350762
Trispi,0.347465698,0.619336592
Boucho,2.430937341,1.99999994
Boupol,2.499121575,1.999999941
Hilcen,1.893550939,1.99999983
